Job Title,Alternative Job Titles,Description keywords
president/ceo of strategy and operations,,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
product manager,part production manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
public relations,stakeholder specialist,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
purchasing manager,sourcing manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
purchasing manager,strategic procurement manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) director,quality assurance director,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) director,quality control director,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) director,quality assurance director,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) director,quality control director,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) director,quality engineering director,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) director,quality methods director,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) engineer,quality assurance engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) engineer,quality control engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) engineer,quality assurance engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) engineer,quality control engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) engineer,quality engineering engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) engineer,quality methods engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) technician,quality assurance specialist,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) technician,quality control specialist,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) technician,quality assurance assistant,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) technician,quality control assistant,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) technician,quality assurance analyst,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) technician,quality control analyst,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) technician,quality engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
quality assurance (qa) / quality control (qc) technician,quality methods specialist,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
rodbuster,rebar worker,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
rolling machine setter,tower rolling machnist,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
rolling machine setter,plate roller,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
rolling machine setter,cold-rolling machine setter,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
rolling machine setter,spline rolling machine job setter,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
safety specialist,"health, safety, and environment technician","""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
